platform,workload,run_id,invocation_id,mem_limit_mb,cold_start,concurrency,queue_delay_ms,duration_ms,cpu_time_ms,rss_mb,peak_rss_mb,io_read_bytes,io_write_bytes,energy_joules
docker_ubuntu22_on_ubuntu20,cpuintensive,9278f544-fa3d-4361-80b0-1738251a3b0d,b986868a-922b-4bbb-ab9c-78c833456a50,128,False,1,0,1210.0,1210.0,7.73046875,7.73046875,0,0,0.0
docker_ubuntu22_on_ubuntu20,cpuintensive,9278f544-fa3d-4361-80b0-1738251a3b0d,41da3101-2452-4707-969e-a145cf20f181,128,False,1,0,1190.0,1180.0,7.8125,7.8125,0,0,0.0
docker_ubuntu22_on_ubuntu20,cpuintensive,9278f544-fa3d-4361-80b0-1738251a3b0d,a3436749-7b7c-41a2-a95a-9ee3204f38e9,128,False,1,0,1150.0,1150.0,7.86328125,7.86328125,0,0,0.0
docker_ubuntu22_on_ubuntu20,cpuintensive,9278f544-fa3d-4361-80b0-1738251a3b0d,d933ef72-ebee-4c8a-b7d0-30d47d2d5c81,128,True,1,0,1180.0,1180.0,8.0,8.0,0,0,0.0
docker_ubuntu22_on_ubuntu20,cpuintensive,9278f544-fa3d-4361-80b0-1738251a3b0d,f8132768-fc0e-44b3-a1e7-3591fed4e7d2,128,False,1,0,1150.0,1150.0,7.71875,7.71875,0,0,0.0
docker_ubuntu22_on_ubuntu20,cpuintensive,9278f544-fa3d-4361-80b0-1738251a3b0d,14d8d49c-7d7e-4420-8257-f025d3c1261e,128,False,1,0,1150.0,1150.0,7.96875,7.96875,0,0,0.0
docker_ubuntu22_on_ubuntu20,cpuintensive,9278f544-fa3d-4361-80b0-1738251a3b0d,67a90ad1-51c2-427f-b47f-9495b4f3a009,128,False,1,0,1250.0,1250.0,7.875,7.875,0,0,0.0
docker_ubuntu22_on_ubuntu20,cpuintensive,9278f544-fa3d-4361-80b0-1738251a3b0d,6b9105dc-a701-474b-a46f-18ae73fe5052,128,False,1,0,1150.0,1150.0,7.66796875,7.66796875,0,0,0.0
docker_ubuntu22_on_ubuntu20,cpuintensive,9278f544-fa3d-4361-80b0-1738251a3b0d,81ceabdb-c366-42d4-aa3f-938c4ef70179,128,True,1,0,1210.0,1210.0,7.8125,7.8125,0,0,0.0
docker_ubuntu22_on_ubuntu20,cpuintensive,9278f544-fa3d-4361-80b0-1738251a3b0d,6bb38971-b8ff-46e7-b6f4-f21da38f528f,128,False,1,0,1150.0,1150.0,7.62890625,7.62890625,0,0,0.0
docker_ubuntu22_on_ubuntu20,cpuintensive,9278f544-fa3d-4361-80b0-1738251a3b0d,e160f66a-9673-4553-abb8-4090a53eb1c6,128,False,1,0,1150.0,1150.0,7.6171875,7.6171875,0,0,0.0
docker_ubuntu22_on_ubuntu20,cpuintensive,9278f544-fa3d-4361-80b0-1738251a3b0d,0caa00a9-a249-4d30-906d-02b8dc730f53,128,False,1,0,1230.0,1230.0,7.88671875,7.88671875,0,0,0.0
docker_ubuntu22_on_ubuntu20,cpuintensive,9278f544-fa3d-4361-80b0-1738251a3b0d,4db70664-0986-40fe-a227-31db20239126,128,False,1,0,1150.0,1150.0,7.9375,7.9375,0,0,0.0
docker_ubuntu22_on_ubuntu20,cpuintensive,00b06771-1b35-4de6-8689-9ed75172c3fe,be8a3bfa-0bc5-4814-af70-3174a13a31df,128,True,1,0,1180.0,1180.0,7.69140625,7.69140625,0,0,0.0
docker_ubuntu22_on_ubuntu20,cpuintensive,00b06771-1b35-4de6-8689-9ed75172c3fe,1b094044-3311-4aba-9c39-ba7666838b18,128,False,1,0,1180.0,1180.0,7.8359375,7.8359375,0,0,0.0
